"id","message"
71,"ENDPOINT OF CATEGORY IS OUTSIDE LIMITS"
72,"STANDARDIZED LIMIT IS INFINITE"
73,"UPPER LIMIT EQUAL TO LOWER LIMIT"
74,"WITH NMPR12-14, L2 RECORDS ARE NOT ALLOWED"
75,"WITH NMPR12-14, CORRELATED EPSILONS ARE NOT ALLOWED"
76,"STANDARDIZED ENDPOINT OF CATEGORY IS INFINITE"
77,"UPPER ENDPOINT OF CATEGORY NO GREATER THAN LOWER ENDPOINT"
78,"END OF PRED EXIT CODE MESSAGES FROM THE INITIAL ESTIMATE STEP"
79,"PROGRAM TERMINATED BY INLOBJ"
80,"INTRAINDIVIDUAL VAR-COV OF DATA FROM SOME OBS RECORD ESTIMATED TO BE 0"
81,"// THETA - VECTOR OF FIXED EFFECTS PARAMETERS"
82,"// OMEGA - COV MATRIX ABOUT EACH SUPPORT POINT"
83,"CONDITIONAL CONTRIBUTION OR IT'S DERIVATIVE IS INFINITE"
84,"CONDITIONAL CONTRIBUTIONS OR THEIR DERIVATIVES SUM TO INFINITY"
85,"INTRAINDIVIDUAL VAR-COV OF DATA FROM SOME L2 RECORD ESTIMATED TO BE SINGULAR"
86,"CONDITIONAL LIKELIHOOD FOR SOME OBSERVATION ESTIMATED TO BE NEGLIGIBLE"
87,"CONDITIONAL LIKELIHOOD FOR SOME L2 OBSERVATION ESTIMATED TO BE NEGLIGIBLE"
88,"WITH NMPR12-14, OBS. CANNOT BE MODELED WITH A CORRELATED EPSILON"
89,"THERE ARE NO POINTS TO BE PLOTTED"
90,"VAR-COV WITH INDIVIDUAL ESTIMATED TO BE SINGULAR"
91,"NUMBER OF POINTS IS 1"
92,"SCATTERPLOT OMITTED"
93,"SIMULATION STEP PERFORMED"
94,"TO OBTAIN INITIAL THETA ESTIMATE NONMEM WILL NOT ABORT WHEN PRED EXIT CODE = 1"
95,"INITIAL ESTIMATES EQUAL TO 0 MUST BE FIXED"
96,"LOWER BOUNDS INAPPROPRIATE"
97,"UPPER BOUNDS INAPPROPRIATE"
98,"INITIAL ESTIMATE OF THETA:"
99,"BLOCK IS NONZERO, BUT NUMERICALLY NOT POSITIVE DEFINITE"
100,"BLOCK DOES NOT HAVE BAND FORM"
101,"DIMENSION OF BLOCK EXCEEDS 8/ INITL. EST. OF BLOCK NOT PRINTED"
102,"DIFFERENT ETA AND EPS WITH EACH CALL TO SIMETA AND SIMEPS"
103,"WARNING: ID DATA ITEM MISSING FROM DATA SET WHILE DIMENSION OF SIGMA IS NOT ZERO"
104,"ESTIMATES FIXED TO ZERO:"
105,"EVEN WITH THE FIRST ESTIMATE OF THETA TRIED"
106,"MIX SUBROUTINE USER-SUPPLIED"
107,"CRIT SUBROUTINE USER-SUPPLIED"
108,"USMETA SUBROUTINE USER-SUPPLIED"
109,"CONTR SUBROUTINE USER-SUPPLIED"
110,"CCONTR SUBROUTINE USER-SUPPLIED"
111,"AUTOMATIC CCONTR USAGE"
112,"SPTWO SUBROUTINE USER-SUPPLIED"
113,"PRIOR SUBROUTINE USER-SUPPLIED"
114,"INLETA SUBROUTINE USER-SUPPLIED"
115,"WARNING: THE NUMBER OF PARAMETERS TO BE ESTIMATED EXCEEDS THE NUMBER OF INDIVIDUALS WITH DATA."
116,"WARNING: FOR AN ASYMPTOTIC ESTIMATE OF THE VARIANCE-COVARIANCE MATRIX OF THE GRADIENT VECTOR, THE COVARIANCE STEP COMPUTES THE S MATRIX. BUT WHEN THE NUMBER OF PARAMETERS TO BE ESTIMATED EXCEEDS THE NUMBER OF INDIVIDUALS WITH DATA THIS MATRIX CAN BE SINGULAR AND BE A POOR ASYMPTOTIC ESTIMATE."
117,"WARNING: IF PRED IS RECURSIVE OUTSIDE THE RANGE OF DATA RECORDS OF AN INDIVIDUAL RECORD, AND THE SPECIAL COMPUTATION IN THE COVARIANCE STEP IS NOT USED, AN ERROR WILL OCCUR"
118,"WARNING: IF PRED IS RECURSIVE OUTSIDE THE RANGE OF DATA RECORDS OF AN INDIVIDUAL RECORD, AN ERROR WILL OCCUR"
119,"INPUT ARGUMENT TO ROUTINE NWPRI DOES NOT MATCH INFORMATION IN INPUT MODEL SPECIFICATION FILE"
120,"OBJ. FUNCT. IS NOT DEFINED"
121,"OBJ. FUNCT. & WEIGHTED RESIDUALS NOT COMPUTED"
122,"PROGRAM TERMINATED BY NP4F"
123,"PRED RETURNS DIFFERENT OUTPUTS WITH THE SAME INPUTS"
124,"LENGTH OF LEADING SEGMENT OF NMPRD4 IS INAPPROPRIATE"
125,"PROGRAM TERMINATED BY NP"
126,"VAR-COV WITH SOME OBS RECORD ESTIMATED TO BE 0"
127,"VAR-COV WITH SOME L2 RECORD ESTIMATED TO BE SINGULAR"
128,""
129,"CONDITIONAL CONTRIBUTION IS INFINITE"
130,"CONDITIONAL CONTRIBUTIONS SUM TO INFINITY"
141,"OMEGA ESTIMATED TO BE SINGULAR"
142,"ALL CONTRIBUTIONS TO THE LIKELIHOOD"
143,"FROM ALL MIXTURE SUBMODELS ARE ESSENTIALLY ZERO"
144,"CONTRIBUTION FROM THE INDIVIDUAL IS INFINITE"
145,"OBJ. FUNC. BECOMES INFINITE WITH THE INDIVIDUAL'S,  CONTRIBUTION"
146,"INTRAINDIVIDUAL VAR-COV OF DATA FROM SOME OBS RECORD, ESTIMATED TO BE 0"
147,"WITH NMPR12-14 AND SINGLE-SUBJECT DATA MULTIPLE OBSERVATIONS IN L1 RECORD ARE NOT ALLOWED"
148,"WITH SINGLE-SUBJECT ODD-TYPE DATA MULTIPLE OBSERVATIONS IN L1 RECORD ARE NOT ALLOWED"
149,"INTRAINDIVIDUAL VAR-COV OF DATA FROM SOME L2 RECORD, ESTIMATED TO BE SINGULAR"
150,"NUMERICAL HESSIAN OF OBJ. FUNC. FOR COMPUTING CONDITIONAL ESTIMATE"
151,"IS NON POSITIVE DEFINITE"
152,"HESSIAN OF OBJ. FUNC. FOR COMPUTING CONDITIONAL ESTIMATE"
153,"DERIVATIVE OF CONDITIONAL CONTRIBUTION IS TOO LARGE"
154,"VAR-COV OF DATA FROM INDIVIDUAL RECORD ESTIMATED TO BE SINGULAR"
155,"LIKELIHOOD FOR DATA FROM INDIVIDUAL IS ESTIMATED TO BE NEGLIGIBLE"
156,"ESTIMATED TO BE NEGLIGIBLE"
157,"PROGRAM TERMINATED BY OBJ"
158,"A GRID CELL CONTAINS ZERO MASS"
159,"A GRID CELL FAILS TO BE CENTRALLY CONVEX"
160,"THE ITERATION FOR THE EIGENVALUE FAILED TO CONVERGE IN 100 ITERATIONS"
161,"THE INPUT MATRIX IS SINGULAR. SOME OF THE DIAGONAL ELEMENTS OF THE UPPER TRIANGULAR MATRIX U OF THE LU FACTORIZATION ARE CLOSE TO ZERO."
162,"THE INPUT MATRIX IS SINGULAR."
163,"MESSAGE = ALLOCATION ERROR FOR SAVING INPUT MATRIX 'A' IN SOLSVD ROUTINE"
164,"MESSAGE = DEALLOCATION ERROR FOR SAVE OF INPUT MATRIX 'A' IN SOLSVD ROUTINE"
165,"MESSAGE = ARRAY 'A' HAS AN INVALID NUMBER OF ROWS OR COLUMNS IN SOLSVD ROUTINE"
166,"MESSAGE = ARRAY 'V' HAS TOO MANY INDICATED ROWS AND COLUMNS IN SOLSVD ROUTINE"
167,"MESSAGE = ARRAY 'U' HAS TOO MANY INDICATED ROWS AND COLUMNS IN SOLSVD ROUTINE"
168,"MESSAGE = ARRAY 'S' HAS TOO MANY INDICATED ENTRIES IN SOLSVD ROUTINE"
169,"Burn-in Mode"
170,"Sampling Mode"
171,"Convergence achieved"
172,"Ending Mode"
173,"Ending Program  "
174,"Forcing positive definiteness"
175,"Stochastic/Burn-in Mode"
176,"Reduced Stochastic/Accumulation Mode"
177,"EM/BAYES SETUP:"
178,"MCMC settings"
179,"#TERM:"
180,"#TERE:"
181,"THETAS THAT ARE MU MODELED:"
182,"THETAS THAT MODEL MIXTURE PROPORTIONS:"
183,"THETAS THAT ARE GIBBS SAMPLED:"
184,"THETAS THAT ARE METROPOLIS-HASTINGS SAMPLED:"
185,"SIGMAS THAT ARE GIBBS SAMPLED:"
186,"SIGMAS THAT ARE METROPOLIS-HASTINGS SAMPLED:"
187,"OMEGAS ARE GIBBS SAMPLED"
188,"OMEGAS ARE METROPOLIS-HASTINGS SAMPLED"
189,"THETAS THAT ARE SIGMA-LIKE:"
190,"BY USER INTERRUPT"
191,"THE FOLLOWING LABELS ARE EQUIVALENT"
192,"OBJ VARIED BY NO MORE THAN NSIG DIGITS PASSED DECIMAL POINT OVER LAST 10 ITERATIONS"
193,"THETAI SUBROUTINE USER-SUPPLIED"
194,"THETAR SUBROUTINE USER-SUPPLIED"
